Organism	Phylum	Identity%	E-value	QueryCoverage%	Score	Title
Escherichia coli	Proteobacteria	99.3	0.00e+00	78.3	1473.0	tpg|HFO2704215.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.1	0.00e+00	99.7	1861.0	gb|EJV8346273.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.1	0.00e+00	99.7	1861.0	gb|EHH6705466.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.1	0.00e+00	99.7	1861.0	gb|EOO9587023.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.1	0.00e+00	99.7	1861.0	tpg|HCB8130440.1| hypothetical protein [Escherichia coli] >tpg|HCB9545208.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.1	0.00e+00	99.7	1860.0	tpg|HAW1277810.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.1	0.00e+00	99.7	1858.0	gb|EAC2054965.1| hypothetical protein [Escherichia coli] >gb|EFI5218475.1| hypothetical protein [Escherichia coli] >gb|E
Escherichia coli	Proteobacteria	99.1	0.00e+00	99.7	1857.0	gb|EET5224305.1| hypothetical protein [Escherichia coli] >gb|EET7265455.1| hypothetical protein [Escherichia coli] >gb|E
Escherichia coli	Proteobacteria	99.0	6.75e-147	58.4	1090.0	gb|EJM6900936.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.0	3.97e-146	58.1	1084.0	gb|EFK7098331.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.0	5.49e-141	56.1	1050.0	gb|EFI8170852.1| hypothetical protein [Escherichia coli] >gb|EJD3271342.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	99.0	2.28e-139	55.6	1039.0	gb|EEU2394177.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	98.9	0.00e+00	99.7	1862.0	ref|WP_249826664.1| plasmid segregation protein ParM [Escherichia coli]
Escherichia coli	Proteobacteria	98.9	0.00e+00	99.7	1857.0	gb|MEB6102428.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	98.9	0.00e+00	99.7	1852.0	ref|WP_269549824.1| MULTISPECIES: GNAT family N-acetyltransferase [Enterobacteriaceae] >gb|ELR9183476.1| hypothetical pr
Escherichia coli	Proteobacteria	98.9	0.00e+00	99.7	1849.0	gb|EOK1867930.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	98.9	6.18e-135	53.8	1009.0	gb|EEY4065873.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	98.9	1.72e-126	51.0	953.0	gb|EFC2486159.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	98.8	1.80e-121	49.0	919.0	gb|EGO6487727.1| hypothetical protein [Escherichia coli]
Escherichia coli	Proteobacteria	98.8	5.10e-119	48.1	903.0	gb|MHJ4352202.1| GNAT family N-acetyltransferase [Escherichia coli]
Escherichia coli	Proteobacteria	98.6	0.00e+00	99.7	1850.0	ref|WP_441102832.1| GNAT family N-acetyltransferase [Escherichia coli] >gb|MGN9301284.1| hypothetical protein [Escherich
Escherichia albertii	Proteobacteria	98.6	0.00e+00	99.7	1850.0	ref|WP_256877085.1| GNAT family N-acetyltransferase [Escherichia albertii] >gb|MCQ8929177.1| hypothetical protein [Esche
Escherichia coli	Proteobacteria	98.2	3.03e-117	47.6	891.0	ref|WP_198803832.1| GNAT family N-acetyltransferase [Escherichia coli] >gb|MBJ1951859.1| GNAT family N-acetyltransferase
Escherichia coli	Proteobacteria	97.8	1.79e-127	52.4	960.0	tpg|HEI2856751.1| hypothetical protein [Escherichia coli]
Salmonella enterica subsp. enterica serovar Newport	Proteobacteria	97.4	0.00e+00	99.7	1826.0	ref|WP_437151402.1| GNAT family N-acetyltransferase [Salmonella enterica] >gb|MGK7506380.1| hypothetical protein [Salmon
Salmonella enterica subsp. enterica serovar Typhimurium	Proteobacteria	95.3	9.97e-115	48.4	875.0	gb|EBM7483156.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Muenchen] >gb|EDS2915117.1| hypotheti
Salmonella enterica subsp. enterica serovar Agona	Proteobacteria	95.3	1.31e-114	48.4	874.0	gb|EAB0241530.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Agona] >gb|EAW0091499.1| hypothetical
Salmonella enterica	Proteobacteria	95.3	7.10e-114	48.1	869.0	gb|EBA4157311.1| hypothetical protein [Salmonella enterica] >gb|EDI6385486.1| hypothetical protein [Salmonella enterica 
Salmonella enterica subsp. enterica serovar Typhimurium	Proteobacteria	95.3	6.52e-113	47.9	862.0	gb|EHV1464234.1| hypothetical protein [Salmonella enterica] >gb|EIU8894803.1| hypothetical protein [Salmonella enterica]
Salmonella enterica subsp. enterica serovar Typhimurium	Proteobacteria	95.2	1.48e-111	47.3	853.0	gb|EAS2592757.1| hypothetical protein [Salmonella enterica] >gb|EDQ7322135.1| hypothetical protein [Salmonella enterica 
Salmonella enterica subsp. enterica serovar Agona	Proteobacteria	95.1	9.66e-125	52.4	942.0	gb|EBW8165641.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Typhimurium var. 5-] >gb|EKQ8386821.1
Salmonella enterica subsp. enterica serovar Mbandaka	Proteobacteria	95.1	4.51e-124	52.1	937.0	gb|ECH3646018.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Mbandaka]
Salmonella enterica subsp. enterica serovar Senftenberg	Proteobacteria	95.1	7.00e-123	51.9	929.0	gb|EAO2066159.1| hypothetical protein [Salmonella enterica] >gb|ECW5648247.1| hypothetical protein [Salmonella enterica 
Salmonella enterica subsp. enterica serovar Agona	Proteobacteria	95.1	3.53e-122	51.6	925.0	gb|EAN1645976.1| hypothetical protein [Salmonella enterica] >gb|EAU3960986.1| hypothetical protein [Salmonella enterica]
Salmonella enterica subsp. enterica serovar Typhimurium	Proteobacteria	95.0	1.92e-121	51.3	920.0	gb|ECI1305340.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Agona] >gb|MDQ7610681.1| hypothetical
Salmonella enterica subsp. enterica serovar Typhimurium	Proteobacteria	95.0	2.05e-120	51.0	913.0	gb|ECA0959474.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Give] >gb|ECV6103389.1| hypothetical 
Salmonella enterica subsp. enterica serovar Give	Proteobacteria	95.0	1.36e-119	50.7	907.0	gb|EDT3213371.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Oranienburg] >gb|EGI7046834.1| hypoth
Salmonella enterica subsp. enterica serovar Montevideo	Proteobacteria	94.9	1.08e-148	61.5	1103.0	gb|ECS4589183.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Montevideo]
Salmonella enterica	Proteobacteria	94.9	7.07e-148	61.3	1097.0	gb|EBU1412075.1| hypothetical protein [Salmonella enterica]
Salmonella enterica	Proteobacteria	94.9	4.87e-119	50.4	904.0	gb|EAM4330174.1| hypothetical protein [Salmonella enterica] >gb|ECR7011496.1| hypothetical protein [Salmonella enterica]
Salmonella enterica subsp. enterica serovar Mbandaka	Proteobacteria	94.9	4.15e-118	50.1	897.0	gb|ECB9054810.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Mbandaka]
Salmonella enterica subsp. enterica serovar Typhimurium	Proteobacteria	94.9	1.79e-117	49.9	893.0	gb|EBM8519022.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Agona] >gb|EBO6170407.1| hypothetical
Salmonella enterica	Proteobacteria	94.9	7.32e-117	49.6	889.0	gb|EEG9230034.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Mbandaka] >gb|EGU3991960.1| hypotheti
Salmonella enterica	Proteobacteria	94.8	3.41e-144	59.8	1072.0	gb|ECW1133432.1| hypothetical protein [Salmonella enterica]
Salmonella enterica	Proteobacteria	94.8	5.08e-143	59.5	1065.0	gb|ECQ4636983.1| hypothetical protein [Salmonella enterica]
Salmonella enterica	Proteobacteria	94.8	2.14e-130	54.7	980.0	gb|EAM5898861.1| hypothetical protein [Salmonella enterica] >gb|EBJ9916927.1| hypothetical protein [Salmonella enterica]
Salmonella enterica	Proteobacteria	94.8	1.25e-129	54.4	975.0	gb|EBD6719888.1| hypothetical protein [Salmonella enterica] >gb|EDD0013379.1| hypothetical protein [Salmonella enterica 
Salmonella enterica	Proteobacteria	94.8	5.73e-129	54.1	970.0	gb|EAN3583669.1| hypothetical protein [Salmonella enterica] >gb|EBK2629300.1| hypothetical protein [Salmonella enterica 
Salmonella enterica subsp. enterica serovar Typhimurium	Proteobacteria	94.8	3.27e-116	49.3	885.0	gb|EGM6507613.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Mbandaka] >gb|EJY2526321.1| hypotheti
Salmonella enterica subsp. enterica serovar Typhimurium	Proteobacteria	94.8	2.69e-115	49.0	878.0	gb|ECW5620986.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Heidelberg] >gb|EDF8162271.1| hypothe
Salmonella enterica	Proteobacteria	94.7	3.77e-157	64.7	1159.0	gb|EBM0116825.1| hypothetical protein [Salmonella enterica]
Salmonella enterica subsp. enterica serovar Typhimurium	Proteobacteria	94.7	2.95e-156	64.4	1153.0	gb|ECR7038432.1| hypothetical protein [Salmonella enterica] >gb|EIT4047077.1| hypothetical protein [Salmonella enterica 
Salmonella enterica subsp. enterica serovar Typhimurium	Proteobacteria	94.7	1.23e-141	59.0	1055.0	gb|EHA0664524.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Agona] >gb|KTO11505.1| hypothetical p
Salmonella enterica subsp. enterica serovar Typhimurium	Proteobacteria	94.7	1.35e-140	58.7	1048.0	gb|ECM7348631.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Typhimurium]
Salmonella enterica subsp. enterica serovar Agona	Proteobacteria	94.7	9.90e-140	58.4	1042.0	gb|EAM5968805.1| hypothetical protein [Salmonella enterica] >gb|EHD4831034.1| hypothetical protein [Salmonella enterica]
Salmonella enterica subsp. enterica serovar Typhimurium	Proteobacteria	94.7	2.64e-128	53.8	966.0	gb|EHC0329996.1| hypothetical protein [Salmonella enterica] >gb|EIQ1287153.1| hypothetical protein [Salmonella enterica 
Salmonella enterica	Proteobacteria	94.7	2.08e-127	53.6	960.0	gb|EGJ0655574.1| hypothetical protein [Salmonella enterica]
Salmonella enterica subsp. enterica serovar Typhimurium	Proteobacteria	94.7	1.85e-126	53.3	953.0	gb|ECC0855039.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Agona] >gb|EEK8884262.1| hypothetical
Salmonella enterica	Proteobacteria	94.7	1.11e-125	53.0	948.0	gb|EBJ8122312.1| hypothetical protein [Salmonella enterica] >gb|EIL2842832.1| hypothetical protein [Salmonella enterica 
Salmonella enterica	Proteobacteria	94.6	6.56e-139	58.1	1037.0	gb|ECR7196209.1| hypothetical protein [Salmonella enterica] >gb|EGK9303544.1| hypothetical protein [Salmonella enterica]
Salmonella enterica	Proteobacteria	94.6	3.77e-138	57.8	1032.0	gb|EAQ0674143.1| hypothetical protein [Salmonella enterica] >gb|ECX3649214.1| hypothetical protein [Salmonella enterica 
Salmonella enterica	Proteobacteria	94.6	1.33e-136	57.3	1022.0	gb|EEK0608756.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Agona] >gb|EIR5554361.1| hypothetical
Salmonella enterica	Proteobacteria	94.6	5.60e-125	52.7	943.0	gb|EBR4209705.1| hypothetical protein [Salmonella enterica]
Salmonella enterica subsp. enterica serovar Uganda	Proteobacteria	94.5	7.80e-136	57.0	1016.0	gb|EAR0513483.1| hypothetical protein [Salmonella enterica] >gb|EAW2014987.1| hypothetical protein [Salmonella enterica 
Salmonella enterica subsp. enterica serovar Agona	Proteobacteria	94.5	3.23e-135	56.7	1012.0	gb|EDW4159421.1| hypothetical protein [Salmonella enterica subsp. salamae] >gb|EEF9011603.1| hypothetical protein [Salmo
Salmonella enterica subsp. enterica serovar Uganda	Proteobacteria	94.5	2.12e-134	56.4	1007.0	gb|EAB4100340.1| hypothetical protein [Salmonella enterica] >gb|EBO1196864.1| hypothetical protein [Salmonella enterica 
Salmonella enterica	Proteobacteria	94.4	1.64e-159	65.8	1175.0	gb|ECE2195955.1| hypothetical protein [Salmonella enterica]
Salmonella enterica subsp. enterica serovar Give	Proteobacteria	94.4	8.95e-134	56.1	1003.0	gb|EAA8078800.1| hypothetical protein [Salmonella enterica] >gb|EBX4305966.1| hypothetical protein [Salmonella enterica 
Salmonella enterica subsp. enterica	Proteobacteria	94.4	4.81e-133	55.8	998.0	gb|EAP2395462.1| hypothetical protein [Salmonella enterica] >gb|EBL5883927.1| hypothetical protein [Salmonella enterica 
Salmonella enterica subsp. enterica serovar Reading	Proteobacteria	94.4	4.01e-132	55.6	991.0	gb|EAN6989250.1| hypothetical protein [Salmonella enterica] >gb|EAS9009746.1| hypothetical protein [Salmonella enterica 
Salmonella enterica	Proteobacteria	94.4	4.24e-132	55.6	992.0	ref|WP_258281803.1| GNAT family N-acetyltransferase [Salmonella enterica] >gb|EBK7420547.1| hypothetical protein [Salmon
Salmonella enterica subsp. enterica serovar Typhimurium	Proteobacteria	94.4	2.46e-131	55.3	986.0	gb|EAQ6083729.1| hypothetical protein [Salmonella enterica] >gb|EBH9925045.1| hypothetical protein [Salmonella enterica 
Salmonella enterica subsp. enterica serovar Typhimurium	Proteobacteria	94.3	1.43e-130	55.0	981.0	gb|ECR7467884.1| hypothetical protein [Salmonella enterica] >gb|EDI4264661.1| hypothetical protein [Salmonella enterica 
Salmonella enterica	Proteobacteria	94.1	2.59e-162	67.0	1194.0	gb|ECJ6391140.1| hypothetical protein [Salmonella enterica]
Salmonella enterica subsp. enterica serovar Agona	Proteobacteria	94.1	2.10e-136	57.3	1020.0	gb|EBZ0313539.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Agona]
Salmonella enterica	Proteobacteria	93.9	1.37e-133	56.1	1001.0	gb|EGK5863802.1| hypothetical protein [Salmonella enterica]
Salmonella enterica subsp. enterica serovar Agona	Proteobacteria	93.9	3.29e-133	56.1	999.0	tpg|HAB1827198.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Agona]
Salmonella enterica	Proteobacteria	93.9	1.47e-119	50.7	907.0	gb|ECV9747007.1| hypothetical protein [Salmonella enterica]
Salmonella enterica	Proteobacteria	93.8	8.44e-130	55.3	976.0	gb|EAV7693431.1| hypothetical protein [Salmonella enterica]
Salmonella enterica subsp. enterica serovar Typhimurium	Proteobacteria	93.5	1.47e-180	74.4	1316.0	tpg|HGB0955356.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Typhimurium]
Salmonella enterica	Proteobacteria	93.5	7.46e-169	70.1	1238.0	gb|EAN9385731.1| hypothetical protein [Salmonella enterica]
Salmonella enterica subsp. enterica serovar Typhimurium	Proteobacteria	93.3	0.00e+00	80.3	1414.0	gb|EDG1662723.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Typhimurium]
Salmonella enterica	Proteobacteria	93.3	4.25e-175	72.4	1280.0	gb|EAW3499837.1| hypothetical protein [Salmonella enterica]
Salmonella enterica subsp. enterica serovar Typhimurium	Proteobacteria	93.3	1.47e-173	71.8	1270.0	tpg|HGB1684539.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Typhimurium]
Salmonella enterica	Proteobacteria	93.2	0.00e+00	79.8	1404.0	gb|EBJ1365747.1| hypothetical protein [Salmonella enterica]
Salmonella enterica	Proteobacteria	93.2	0.00e+00	79.2	1393.0	gb|ECF8876247.1| hypothetical protein [Salmonella enterica]
Salmonella enterica subsp. enterica serovar Mbandaka	Proteobacteria	93.2	1.47e-171	71.2	1256.0	gb|EBZ7474017.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Mbandaka]
Salmonella enterica subsp. enterica serovar Typhimurium	Proteobacteria	93.1	0.00e+00	81.8	1433.0	tpg|HGB0887772.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Typhimurium]
Salmonella enterica	Proteobacteria	93.0	0.00e+00	81.5	1428.0	gb|EDA0855810.1| hypothetical protein [Salmonella enterica]
Klebsiella oxytoca	Proteobacteria	93.0	5.35e-124	53.0	937.0	gb|MBZ7190615.1| hypothetical protein [Klebsiella oxytoca]
Citrobacter sedlakii	Proteobacteria	92.9	0.00e+00	99.7	1746.0	tpg|HCA7080972.1| hypothetical protein [Citrobacter sedlakii] >tpg|HCA7137403.1| hypothetical protein [Citrobacter sedla
Citrobacter amalonaticus	Proteobacteria	92.9	0.00e+00	99.7	1744.0	ref|WP_326975844.1| hypothetical protein [Citrobacter amalonaticus] >gb|MDT7073603.1| hypothetical protein [Citrobacter 
Salmonella enterica subsp. enterica serovar Mbandaka	Proteobacteria	92.9	0.00e+00	99.7	1741.0	gb|ECT3056801.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Mbandaka]
Salmonella enterica subsp. enterica serovar Cuckmere	Proteobacteria	92.6	0.00e+00	99.7	1739.0	ref|WP_000059556.1| MULTISPECIES: hypothetical protein [Salmonella] >gb|EOA2412274.1| hypothetical protein [Salmonella e
Salmonella enterica subsp. enterica serovar Typhi str. AG3	Proteobacteria	92.6	0.00e+00	99.7	1737.0	ref|YP_013295073.1| hypothetical protein [Salmonella phage SopEPhi] >gb|ADX18499.1| hypothetical protein STM474_2850 [Sa
Salmonella enterica subsp. enterica serovar Agona	Proteobacteria	92.4	0.00e+00	82.3	1434.0	gb|EEN6740833.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Agona]
Salmonella enterica subsp. enterica serovar Chester	Proteobacteria	92.3	0.00e+00	99.7	1737.0	gb|EPU7107112.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Chester] >tpg|HFG5584576.1| hypotheti
Salmonella enterica subsp. enterica serovar Chester	Proteobacteria	92.3	0.00e+00	99.7	1736.0	gb|EBN6366003.1| hypothetical protein [Salmonella enterica] >gb|EBQ9754283.1| hypothetical protein [Salmonella enterica 
Salmonella enterica subsp. enterica serovar Javiana	Proteobacteria	92.3	0.00e+00	99.7	1735.0	gb|EAP7074967.1| hypothetical protein [Salmonella enterica] >gb|ECH8105483.1| hypothetical protein [Salmonella enterica 
Salmonella enterica subsp. enterica serovar Javiana	Proteobacteria	92.3	0.00e+00	99.7	1735.0	gb|EPN3496151.1| hypothetical protein [Salmonella enterica] >gb|EQD4982805.1| hypothetical protein [Salmonella enterica 
Salmonella enterica	Proteobacteria	92.3	0.00e+00	99.7	1734.0	gb|ENZ2565595.1| hypothetical protein [Salmonella enterica]
Salmonella enterica subsp. enterica serovar Agona	Proteobacteria	92.3	0.00e+00	99.7	1734.0	ref|WP_308302679.1| hypothetical protein [Salmonella enterica] >gb|MDQ7496916.1| hypothetical protein [Salmonella enteri
Salmonella enterica	Proteobacteria	92.3	0.00e+00	99.7	1734.0	gb|ENO3369339.1| hypothetical protein [Salmonella enterica]
Salmonella enterica subsp. enterica serovar Agona	Proteobacteria	92.3	0.00e+00	99.7	1733.0	tpg|HAE1320842.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Agona] >tpg|HAO7990576.1| hypothetic
Salmonella enterica	Proteobacteria	92.3	0.00e+00	99.7	1733.0	tpg|HAK2003967.1| hypothetical protein [Salmonella enterica]
Salmonella enterica	Proteobacteria	92.3	0.00e+00	99.7	1733.0	gb|EHI5896596.1| hypothetical protein [Salmonella enterica]
Salmonella enterica subsp. enterica serovar Agona	Proteobacteria	92.3	0.00e+00	99.7	1733.0	gb|EJE0058548.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Agona]
Salmonella enterica subsp. enterica serovar Agona	Proteobacteria	92.3	0.00e+00	99.7	1732.0	gb|ECP4809928.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Agona]
Salmonella enterica subsp. enterica serovar Typhimurium	Proteobacteria	92.3	0.00e+00	99.7	1732.0	gb|ECN2205278.1| hypothetical protein [Salmonella enterica subsp. enterica serovar Typhimurium]
Salmonella enterica	Proteobacteria	92.3	0.00e+00	99.7	1731.0	gb|ELS9034826.1| hypothetical protein [Salmonella enterica]
Salmonella enterica	Proteobacteria	92.3	0.00e+00	99.7	1730.0	gb|EFS4210379.1| hypothetical protein [Salmonella enterica]
Salmonella enterica	Proteobacteria	92.3	0.00e+00	99.7	1729.0	gb|EAB4626166.1| hypothetical protein [Salmonella enterica] >gb|ECS2294218.1| hypothetical protein [Salmonella enterica 
Salmonella enterica subsp. enterica	Proteobacteria	92.3	0.00e+00	99.7	1728.0	gb|ECI4668091.1| hypothetical protein [Salmonella enterica subsp. enterica]
Salmonella enterica	Proteobacteria	92.3	0.00e+00	99.7	1728.0	gb|ELA4623198.1| hypothetical protein [Salmonella enterica]
