Gene,Annotation,Present_ST354,Absent_ST354,Present_Other,Absent_Other,Sensitivity,Specificity,Odds_Ratio,P_Value,Is_Priority_Candidate,Rank,FDR_Q_Value
group_2443,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2220,0.4003487358326069
group_2442,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2221,0.4001684797606426
group_2441,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2222,0.39998838593536784
group_2440,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2223,0.39980845413782606
group_2439,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2224,0.39962868414945474
group_2390,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2225,0.39944907575208416
group_2389,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2226,0.3992696287279368
group_2452,IS3 family transposase IS629,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2227,0.3990903428596261
group_2431,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2228,0.3989112179301559
group_2450,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2229,0.39873225372291937
group_2449,IS3 family transposase IS629,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2230,0.39855345002169834
group_2448,IS3 family transposase IS3411,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2231,0.39837480661066216
group_2447,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2232,0.39819632327436705
group_3556,IS630 family transposase IS630,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2233,0.39801799979775515
group_3555,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2234,0.3978398359661537
group_3554,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2235,0.39766183156527396
group_3553,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2236,0.3974839863812108
group_3552,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2237,0.39730630020044133
group_3596,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2238,0.39712877280982456
group_2426,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2239,0.39695140399659995
group_2360,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2240,0.39677419354838717
group_2420,IS3 family transposase IS629,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2241,0.39659714125318485
group_2419,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2242,0.3964202468993699
group_2418,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2243,0.39624351027569654
group_2417,IS3 family transposase IS629,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2244,0.3960669311712956
group_2416,IS3 family transposase IS3411,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2245,0.3958905093756736
group_2415,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2246,0.3957142446787121
group_2430,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2247,0.39553813687066636
group_2429,IS3 family transposase IS629,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2248,0.3953621857421652
group_2428,IS3 family transposase IS3411,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2249,0.39518639108420955
group_2427,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2250,0.39501075268817215
group_3595,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2251,0.39483527034579624
group_2425,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2252,0.39465994384919506
group_2424,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2253,0.394484772990851
group_2423,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2254,0.3943097575636146
group_2438,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2255,0.3941348973607039
group_2437,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2256,0.3939601921757036
group_2436,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2257,0.39378564180256415
group_2435,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2258,0.3936112460356011
group_2434,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2259,0.39343700466949416
group_2433,Lysozyme RrrD,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2260,0.39326291749928644
group_2432,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2261,0.3930889843203836
sfaS,S-fimbrial adhesin protein SfaS,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2262,0.3929152049285532
group_3573,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2263,0.3927415791199237
group_3572,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2264,0.3925681066909838
ogl,Oligogalacturonate lyase,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2265,0.3923947874385816
group_3578,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2266,0.39222162115992376
group_3577,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2267,0.3920486076525749
group_3576,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2268,0.39187574671445646
group_3575,IS200/IS605 family transposase IS200C,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2269,0.3917030381438463
group_3574,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2270,0.39153048173937766
perA,GDP-perosamine synthase,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2271,0.39135807730003846
wfgD,UDP-Glc:alpha-D-GlcNAc-diphosphoundecaprenol beta-13-glucosyltransferase WfgD,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2272,0.3911858246251705
manC1_1,Mannose-1-phosphate guanylyltransferase 1,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2273,0.39101372351446867
group_2453,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2274,0.39084177376798035
ydiV_1,Anti-FlhC(2)FlhD(4) factor YdiV,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2275,0.3906699751861043
group_3581,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2276,0.3904983275695902
sfaH,S-fimbrial protein subunit SfaH,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2277,0.39032683071953767
papB_2,Major pilu subunit operon regulatory protein PapB,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2278,0.39015548443739567
group_3580,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2279,0.38998428852496153
sfaA,S-fimbrial protein subunit SfaA,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2280,0.3898132427843804
sfaG,S-fimbrial protein subunit SfaG,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2281,0.3896423470181444
group_3588,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2282,0.38947160102909173
group_3587,S/F1C fimbrial biogenesis usher protein SfaF/FocD,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2283,0.3893010046204062
group_3586,Chaperone protein FocC,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2284,0.38913055759561616
group_3571,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2285,0.388960259758594
group_3594,IS200/IS605 family transposase IS200C,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2286,0.38879011091355525
group_3564,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2287,0.3886201108650579
group_3563,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2288,0.38845025941800143
group_3562,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2289,0.3882805563776266
group_3561,IS110 family transposase ISEc45,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2290,0.3881110015495141
group_3560,IS21 family transposase ISEc10,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2291,0.3879415947395842
group_3559,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2292,0.3877723357540957
group_3558,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2293,0.38760322439964556
group_3557,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2294,0.387434260483168
pelX,Pectate disaccharide-lyase,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2295,0.38726544381193345
ylpA_1,Lipoprotein YlpA,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2296,0.3870967741935485
group_3570,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2297,0.38692825143595444
group_3569,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2298,0.386759875347427
group_3568,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2299,0.3865916457365756
group_3567,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2300,0.3864235624123423
group_3566,IS66 family transposase IS682,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2301,0.3862556251840014
group_3565,IS66 family transposase ISEc23,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2302,0.3860878338611587
group_2422,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2303,0.38592018825375046
group_2421,IS3 family transposase IS3411,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2304,0.3857526881720431
group_2455,IS66 family transposase ISEc8,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2305,0.38558533342663226
group_2454,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2306,0.38541812382844204
ycfH_2,putative metal-dependent hydrolase YcfH,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2307,0.38525105918872443
tdcD_2,Propionate kinase,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2308,0.3850841393190586
queC_2,7-cyano-7-deazaguanine synthase,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2309,0.3849173640313501
group_3943,ISAs1 family transposase ISEc1,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2310,0.38475073313783
group_3942,ISAs1 family transposase ISEc1,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2311,0.38458424645105466
rhsC_1,Protein RhsC,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2312,0.38441790378390456
group_3939,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2313,0.38425170494958377
group_3902,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2314,0.3840856497616194
mexB_2,Multidrug resistance protein MexB,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2315,0.3839197380338606
group_3901,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2316,0.3837539695804781
group_3900,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2317,0.38358834421596344
group_3899,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2318,0.38342286175512824
group_3897,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2319,0.38325752201310365
group_3898,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2320,0.38309232480533933
ccmK_2,Carboxysome shell protein CcmK,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2321,0.38292726994760334
grpN,Bacterial microcompartment shell vertex protein GrpN,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2322,0.38276235725598073
group_3905,IS66 family transposase IS682,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2323,0.3825975865468736
pduP,Propanal dehydrogenase (CoA-propanoylating),0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2324,0.3824329576369997
group_3904,Isethionate sulfite-lyase activating enzyme,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2325,0.3822684703433924
pduB,Bacterial microcompartment shell protein PduB,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2326,0.38210412448339953
pduL,Phosphate propanoyltransferase,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2327,0.381939919874683
ccmK_1,Carboxysome shell protein CcmK,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2328,0.38177585633521793
group_3903,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2329,0.3816119336832921
yfcS_2,putative fimbrial chaperone YfcS,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2330,0.3814481517375053
group_3882,IS66 family transposase ISCro1,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2331,0.38128451031676847
group_3881,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2332,0.3811210092403033
group_3880,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2333,0.38095764832764134
group_3879,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2334,0.3807944273986235
group_3876,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2335,0.3806313462733993
rhaR_2,HTH-type transcriptional activator RhaR,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2336,0.38046840477242605
metK_2,S-adenosylmethionine synthase,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2337,0.3803056027164687
group_3888,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2338,0.3801429399265985
group_3887,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2339,0.37998041622419293
ybgD,putative fimbrial-like protein YbgD,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2340,0.37981803143093473
group_3886,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2341,0.37965578536881134
dctD_1,C4-dicarboxylate transport transcriptional regulatory protein DctD,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2342,0.3794936778601141
group_3885,Protein YqiD,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2343,0.37933170872743804
group_3893,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2344,0.3791698777936806
group_3892,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2345,0.3790081848820415
eutJ_2,Ethanolamine utilization protein EutJ,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2346,0.37884662981602185
group_3891,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2347,0.37868521241942366
ttgR,HTH-type transcriptional regulator TtgR,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2348,0.3785239325163489
group_3890,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2349,0.3783627899311994
group_3889,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2350,0.3782017844886755
ybiW_2,putative dehydratase YbiW,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2351,0.378040916013776
pduO,Corrinoid adenosyltransferase PduO,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2352,0.3778801843317973
ltrA,Group II intron-encoded protein LtrA,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2353,0.3777195892683329
group_3929,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2354,0.37755913064927243
perR,HTH-type transcriptional regulator PerR,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2355,0.3773988083008014
group_3928,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2356,0.3772386220494004
papA_2,Pap fimbrial major pilin protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2357,0.37707857172184445
group_3927,P fimbrial regulatory protein KS71A,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2358,0.3769186571452024
group_3926,Major pilu subunit operon regulatory protein PapB,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2359,0.3767588781468365
group_3925,PAP fimbrial minor pilin protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2360,0.3765992345544014
group_3938,IS3 family transposase ISEc17,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2361,0.3764397261958438
group_3937,IS3 family transposase IS3,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2362,0.3762803528994019
group_3936,IS30 family transposase IS30,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2363,0.37612111449360447
group_3935,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2364,0.37596201080727043
group_3930,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2365,0.3758030416695084
group_3933,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2366,0.37564420690971567
group_3932,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2367,0.37548550635757805
group_3931,GTPase Era,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2368,0.375326939843069
group_3949,IS30 family transposase IS30,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2369,0.37516850719644884
group_3948,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2370,0.3750102082482647
group_3947,IS3 family transposase IS2,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2371,0.37485204282934936
group_3946,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2372,0.37469401077082093
group_4002,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2373,0.3745361119040823
group_4001,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2374,0.37437834606082027
group_4000,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2375,0.3742207130730052
group_3979,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2376,0.3740632127728903
sucC_2,Succinate--CoA ligase [ADP-forming] subunit beta,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2377,0.37390584499301105
sucD_2,Succinate--CoA ligase [ADP-forming] subunit alpha,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2378,0.3737486095661847
group_3909,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2379,0.3735915063255096
group_3908,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2380,0.3734345351043644
group_3907,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2381,0.37327769573640796
pduQ,1-propanol dehydrogenase PduQ,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2382,0.3731209880555782
group_3906,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2383,0.37296441189609203
group_3911,IS21 family transposase ISEc10,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2384,0.37280796709244435
group_3910,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2385,0.37265165347940765
ybhI_2,Inner membrane protein YbhI,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2386,0.37249547089203155
sucA_2,2-oxoglutarate dehydrogenase E1 component,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2387,0.37233941916564195
group_3883,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2388,0.37218349813584056
espX1,type III secretion system effector EspX1,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2389,0.3720277076385045
group_3978,Type I restriction enzyme EcoKI specificity subunit,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2390,0.3718720475097855
group_3924,P fimbrial usher protein PapC,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2391,0.3717165175861093
group_3923,Chaperone protein PapD,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2392,0.37156111770417527
group_3922,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2393,0.3714058477009558
group_3921,Fimbrial adapter PapK,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2394,0.3712507074136956
papE_1,Fimbrial protein PapE,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2395,0.3710956966799112
group_3920,Minor fimbrial protein PrsF,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2396,0.3709408153373904
group_3919,Fimbrial adhesin PapGII,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2397,0.3707860632241916
group_3916,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2398,0.3706314401786436
group_3837,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2399,0.37047694603934445
group_3872,NADPH-dependent L-lysine N(6)-monooxygenase IucD,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2400,0.3703225806451614
group_3821,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2401,0.37016834383523
group_3818,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2402,0.3700142354489539
group_3816,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2403,0.36986025532600386
group_3813,IS66 family transposase ISEc49,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2404,0.3697064033063175
group_3811,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2405,0.36955267923009866
papA_1,Pap fimbrial major pilin protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2406,0.3693990829378168
stiP,Cysteine protease StiP,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2407,0.3692456142702066
group_3799,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2408,0.36909227306826714
group_3843,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2409,0.36893905917326164
group_3841,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2410,0.36878597242671673
sat_auto,serine protease autotransporter toxin Sat,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2411,0.3686330126704219
dgkA_1,Diacylglycerol kinase,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2412,0.3684801797464292
group_3829,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2413,0.36832747349705236
group_3828,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2414,0.36817489376486634
group_3826,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2415,0.368022440392707
group_3823,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2416,0.36787011322367025
yceD_2,General stress protein 16U,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2417,0.3677179121011118
ureG,Urease accessory protein UreG,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2418,0.3675658368686465
ureD,Urease accessory protein UreD,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2419,0.3674138873701477
yceD_1,General stress protein 16U,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2420,0.3672620634497468
alx_1,Putative membrane-bound redox modulator Alx,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2421,0.36711036495183286
group_3678,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2422,0.3669587917210517
group_3667,IS21 family transposase ISEc10,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2423,0.36680734360230594
group_3666,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2424,0.36665602044075385
group_3665,ISL3 family transposase ISKox3,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2425,0.3665048220818092
group_3664,IS3 family transposase ISEc25,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2426,0.3663537483711407
group_3663,P fimbrial regulatory protein KS71A,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2427,0.3662027991546713
papB_3,Major pilu subunit operon regulatory protein PapB,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2428,0.36605197427857794
papH_1,PAP fimbrial minor pilin protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2429,0.36590127358929075
papC_1,P fimbrial usher protein PapC,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2430,0.3657506969334927
group_3691,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2431,0.365600244158119
group_3690,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2432,0.3654499151103566
group_3687,hypothetical protein,0,28,1,2,0.0,0.6666666666666666,0.0,0.09677419354838712,No,2433,0.3652997096376438
